
Host: moses-razer

Timers On : Thu Dec 28 16:19:32 2023
Timers Off: Thu Dec 28 16:19:36 2023

Wall Time:        3.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 Metric                      :      0.250u      0.017s      0.027w      3 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.001w     18 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.001w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.000u      0.000s      0.001w      3 calls
| DFMP2 Bia Write                   :      0.000u      0.000s      0.001w      3 calls
DFMP2 Energy                        :      0.033u      0.000s      0.002w      3 calls
| DFMP2 Bia Read                    :      0.033u      0.000s      0.000w      6 calls

**************************************************************************************

Host: moses-razer

Timers On : Thu Dec 28 16:19:36 2023
Timers Off: Thu Dec 28 16:19:39 2023

Wall Time:        3.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.033u      0.017s      0.106w      3 calls
Libint2ERI::Libint2ERI              :      4.050u      0.117s      0.417w     60 calls
DFH: initialize()                   :      1.400u      0.183s      0.159w      3 calls
DFH: AO Construction                :      0.200u      0.000s      0.022w      3 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.007w      3 calls
HF: Form core H                     :      0.050u      0.000s      0.006w      3 calls
HF: Form S/X                        :      0.033u      0.000s      0.003w      3 calls
HF: Guess                           :      1.667u      0.067s      0.174w      3 calls
SAD Guess                           :      1.617u      0.067s      0.169w      3 calls
HF: Form G                          :      0.133u      0.000s      0.018w     24 calls
JK: D                               :      0.017u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.117u      0.000s      0.016w     24 calls
DFH: compute_JK()                   :      0.117u      0.000s      0.016w     24 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.017u      0.000s      0.007w     24 calls
DFH: compute_K                      :      0.100u      0.000s      0.008w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.017u      0.000s      0.001w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.417u      0.050s      0.146w     21 calls
HF: Form C                          :      0.133u      0.000s      0.021w     21 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      3.200u      0.100s      0.331w      3 calls
DFMP2 (A|mn)                        :      0.183u      0.000s      0.021w      3 calls
DFMP2 (A|mn)C_mi                    :      0.050u      0.000s      0.002w      3 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia Write                     :      0.000u      0.017s      0.001w      3 calls
DFMP2 Bia                           :      0.300u      0.000s      0.029w      3 calls
DFMP2 Metric                        :      0.267u      0.000s      0.026w      3 calls
DFMP2 Aia Read                      :      0.017u      0.000s      0.001w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.000u      0.000s      0.001w      3 calls
DFMP2 Bia Write                     :      0.017u      0.000s      0.001w      3 calls
DFMP2 Energy                        :      0.017u      0.000s      0.002w      3 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.000w      6 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.033u      0.017s      0.106w      3 calls
| Libint2ERI::Libint2ERI            :      0.700u      0.017s      0.075w      3 calls
DFH: initialize()                   :      1.400u      0.183s      0.159w      3 calls
| Libint2ERI::Libint2ERI            :      0.617u      0.017s      0.063w     21 calls
| DFH: AO Construction              :      0.200u      0.000s      0.022w      3 calls
| DFH: AO-Met. Contraction          :      0.100u      0.000s      0.007w      3 calls
HF: Form core H                     :      0.050u      0.000s      0.006w      3 calls
HF: Form S/X                        :      0.033u      0.000s      0.003w      3 calls
HF: Guess                           :      1.667u      0.067s      0.174w      3 calls
| SAD Guess                         :      1.617u      0.067s      0.169w      3 calls
HF: Form G                          :      0.133u      0.000s      0.018w     24 calls
| JK: D                             :      0.017u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.117u      0.000s      0.016w     24 calls
| | DFH: compute_JK()               :      0.117u      0.000s      0.016w     24 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.007w     24 calls
| | | DFH: compute_K                :      0.100u      0.000s      0.008w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.017u      0.000s      0.001w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.417u      0.050s      0.146w     21 calls
HF: Form C                          :      0.133u      0.000s      0.021w     21 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      3.200u      0.100s      0.331w      3 calls
| Libint2ERI::Libint2ERI            :      2.733u      0.083s      0.278w     18 calls
| DFMP2 (A|mn)                      :      0.183u      0.000s      0.021w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.050u      0.000s      0.002w      3 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.000w      3 calls
| DFMP2 Aia Write                   :      0.000u      0.017s      0.001w      3 calls
DFMP2 Bia                           :      0.300u      0.000s      0.029w      3 calls
| DFMP2 Metric                      :      0.267u      0.000s      0.026w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     18 calls
| DFMP2 Aia Read                    :      0.017u      0.000s      0.001w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.000u      0.000s      0.001w      3 calls
| DFMP2 Bia Write                   :      0.017u      0.000s      0.001w      3 calls
DFMP2 Energy                        :      0.017u      0.000s      0.002w      3 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.000w      6 calls

**************************************************************************************

Host: moses-razer

Timers On : Thu Dec 28 16:19:39 2023
Timers Off: Thu Dec 28 16:19:43 2023

Wall Time:        3.77 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.300u      0.050s      0.134w      3 calls
Libint2ERI::Libint2ERI              :      4.783u      0.083s      0.487w     60 calls
DFH: initialize()                   :      1.667u      0.217s      0.186w      3 calls
DFH: AO Construction                :      0.200u      0.000s      0.022w      3 calls
DFH: AO-Met. Contraction            :      0.100u      0.000s      0.008w      3 calls
HF: Form core H                     :      0.050u      0.000s      0.007w      3 calls
HF: Form S/X                        :      0.050u      0.000s      0.004w      3 calls
HF: Guess                           :      2.167u      0.117s      0.227w      3 calls
SAD Guess                           :      2.100u      0.117s      0.221w      3 calls
HF: Form G                          :      0.167u      0.017s      0.026w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.150u      0.017s      0.024w     24 calls
DFH: compute_JK()                   :      0.150u      0.017s      0.024w     24 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.033u      0.000s      0.012w     24 calls
DFH: compute_K                      :      0.083u      0.017s      0.011w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.001w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.617u      0.017s      0.174w     21 calls
HF: Form C                          :      0.317u      0.000s      0.026w     21 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      3.483u      0.067s      0.357w      3 calls
DFMP2 (A|mn)                        :      0.167u      0.000s      0.022w      3 calls
DFMP2 (A|mn)C_mi                    :      0.083u      0.000s      0.002w      3 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia Write                     :      0.017u      0.000s      0.001w      3 calls
DFMP2 Bia                           :      0.283u      0.000s      0.030w      3 calls
DFMP2 Metric                        :      0.283u      0.000s      0.027w      3 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.001w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.000u      0.000s      0.001w      3 calls
DFMP2 Bia Write                     :      0.000u      0.000s      0.001w      3 calls
DFMP2 Energy                        :      0.050u      0.000s      0.002w      3 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.000w      6 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.300u      0.050s      0.134w      3 calls
| Libint2ERI::Libint2ERI            :      0.883u      0.033s      0.093w      3 calls
DFH: initialize()                   :      1.667u      0.217s      0.186w      3 calls
| Libint2ERI::Libint2ERI            :      0.800u      0.000s      0.081w     21 calls
| DFH: AO Construction              :      0.200u      0.000s      0.022w      3 calls
| DFH: AO-Met. Contraction          :      0.100u      0.000s      0.008w      3 calls
HF: Form core H                     :      0.050u      0.000s      0.007w      3 calls
HF: Form S/X                        :      0.050u      0.000s      0.004w      3 calls
HF: Guess                           :      2.167u      0.117s      0.227w      3 calls
| SAD Guess                         :      2.100u      0.117s      0.221w      3 calls
HF: Form G                          :      0.167u      0.017s      0.026w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.150u      0.017s      0.024w     24 calls
| | DFH: compute_JK()               :      0.150u      0.017s      0.024w     24 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.012w     24 calls
| | | DFH: compute_K                :      0.083u      0.017s      0.011w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.001w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.617u      0.017s      0.174w     21 calls
HF: Form C                          :      0.317u      0.000s      0.026w     21 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      3.483u      0.067s      0.357w      3 calls
| Libint2ERI::Libint2ERI            :      3.067u      0.050s      0.313w     18 calls
| DFMP2 (A|mn)                      :      0.167u      0.000s      0.022w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.083u      0.000s      0.002w      3 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.000w      3 calls
| DFMP2 Aia Write                   :      0.017u      0.000s      0.001w      3 calls
DFMP2 Bia                           :      0.283u      0.000s      0.030w      3 calls
| DFMP2 Metric                      :      0.283u      0.000s      0.027w      3 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.001w     18 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.001w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.000u      0.000s      0.001w      3 calls
| DFMP2 Bia Write                   :      0.000u      0.000s      0.001w      3 calls
DFMP2 Energy                        :      0.050u      0.000s      0.002w      3 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.000w      6 calls

**************************************************************************************

Host: moses-razer

Timers On : Thu Dec 28 16:19:43 2023
Timers Off: Thu Dec 28 16:19:47 2023

Wall Time:        3.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.167u      0.017s      0.119w      3 calls
Libint2ERI::Libint2ERI              :      3.783u      0.083s      0.394w     60 calls
DFH: initialize()                   :      1.500u      0.150s      0.168w      3 calls
DFH: AO Construction                :      0.217u      0.000s      0.021w      3 calls
DFH: AO-Met. Contraction            :      0.083u      0.000s      0.008w      3 calls
HF: Form core H                     :      0.050u      0.000s      0.006w      3 calls
HF: Form S/X                        :      0.050u      0.000s      0.003w      3 calls
HF: Guess                           :      1.767u      0.067s      0.183w      3 calls
SAD Guess                           :      1.717u      0.067s      0.178w      3 calls
HF: Form G                          :      0.233u      0.000s      0.024w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.200u      0.000s      0.023w     24 calls
DFH: compute_JK()                   :      0.183u      0.000s      0.023w     24 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.050u      0.000s      0.011w     24 calls
DFH: compute_K                      :      0.133u      0.000s      0.011w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.001w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.683u      0.050s      0.173w     21 calls
HF: Form C                          :      0.233u      0.000s      0.024w     21 calls
DFMP2 Singles                       :      0.033u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      2.700u      0.100s      0.283w      3 calls
DFMP2 (A|mn)                        :      0.183u      0.000s      0.023w      3 calls
DFMP2 (A|mn)C_mi                    :      0.067u      0.000s      0.002w      3 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia Write                     :      0.000u      0.017s      0.001w      3 calls
DFMP2 Bia                           :      0.267u      0.017s      0.028w      3 calls
DFMP2 Metric                        :      0.250u      0.000s      0.025w      3 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.001w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.000u      0.000s      0.001w      3 calls
DFMP2 Bia Write                     :      0.000u      0.017s      0.001w      3 calls
DFMP2 Energy                        :      0.033u      0.000s      0.002w      3 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.000w      6 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.167u      0.017s      0.119w      3 calls
| Libint2ERI::Libint2ERI            :      0.800u      0.017s      0.084w      3 calls
DFH: initialize()                   :      1.500u      0.150s      0.168w      3 calls
| Libint2ERI::Libint2ERI            :      0.683u      0.000s      0.071w     21 calls
| DFH: AO Construction              :      0.217u      0.000s      0.021w      3 calls
| DFH: AO-Met. Contraction          :      0.083u      0.000s      0.008w      3 calls
HF: Form core H                     :      0.050u      0.000s      0.006w      3 calls
HF: Form S/X                        :      0.050u      0.000s      0.003w      3 calls
HF: Guess                           :      1.767u      0.067s      0.183w      3 calls
| SAD Guess                         :      1.717u      0.067s      0.178w      3 calls
HF: Form G                          :      0.233u      0.000s      0.024w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.200u      0.000s      0.023w     24 calls
| | DFH: compute_JK()               :      0.183u      0.000s      0.023w     24 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.011w     24 calls
| | | DFH: compute_K                :      0.133u      0.000s      0.011w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.001w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.683u      0.050s      0.173w     21 calls
HF: Form C                          :      0.233u      0.000s      0.024w     21 calls
DFMP2 Singles                       :      0.033u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      2.700u      0.100s      0.283w      3 calls
| Libint2ERI::Libint2ERI            :      2.300u      0.067s      0.238w     18 calls
| DFMP2 (A|mn)                      :      0.183u      0.000s      0.023w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.067u      0.000s      0.002w      3 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.000w      3 calls
| DFMP2 Aia Write                   :      0.000u      0.017s      0.001w      3 calls
DFMP2 Bia                           :      0.267u      0.017s      0.028w      3 calls
| DFMP2 Metric                      :      0.250u      0.000s      0.025w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w     18 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.001w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.000u      0.000s      0.001w      3 calls
| DFMP2 Bia Write                   :      0.000u      0.017s      0.001w      3 calls
DFMP2 Energy                        :      0.033u      0.000s      0.002w      3 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.000w      6 calls

**************************************************************************************

Host: moses-razer

Timers On : Thu Dec 28 16:19:47 2023
Timers Off: Thu Dec 28 16:19:51 2023

Wall Time:        3.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.267u      0.017s      0.129w      3 calls
Libint2ERI::Libint2ERI              :      4.100u      0.133s      0.428w     60 calls
DFH: initialize()                   :      1.433u      0.333s      0.177w      3 calls
DFH: AO Construction                :      0.167u      0.000s      0.021w      3 calls
DFH: AO-Met. Contraction            :      0.067u      0.033s      0.008w      3 calls
HF: Form core H                     :      0.050u      0.000s      0.006w      3 calls
HF: Form S/X                        :      0.050u      0.000s      0.004w      3 calls
HF: Guess                           :      1.783u      0.167s      0.193w      3 calls
SAD Guess                           :      1.750u      0.167s      0.188w      3 calls
HF: Form G                          :      0.167u      0.000s      0.025w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.167u      0.000s      0.023w     24 calls
DFH: compute_JK()                   :      0.150u      0.000s      0.023w     24 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.017u      0.000s      0.011w     24 calls
DFH: compute_K                      :      0.117u      0.000s      0.011w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.001w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.583u      0.033s      0.163w     21 calls
HF: Form C                          :      0.217u      0.000s      0.025w     21 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      2.967u      0.150s      0.312w      3 calls
DFMP2 (A|mn)                        :      0.183u      0.000s      0.022w      3 calls
DFMP2 (A|mn)C_mi                    :      0.033u      0.000s      0.002w      3 calls
DFMP2 (A|mi)C_na                    :      0.017u      0.000s      0.001w      3 calls
DFMP2 Aia Write                     :      0.017u      0.017s      0.001w      3 calls
DFMP2 Bia                           :      0.317u      0.017s      0.032w      3 calls
DFMP2 Metric                        :      0.283u      0.000s      0.029w      3 calls
DFMP2 Aia Read                      :      0.017u      0.000s      0.001w      3 calls
DFMP2 (ia|A)(A|Q)                   :      0.017u      0.000s      0.001w      3 calls
DFMP2 Bia Write                     :      0.000u      0.017s      0.001w      3 calls
DFMP2 Energy                        :      0.000u      0.000s      0.002w      3 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.000w      6 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.267u      0.017s      0.129w      3 calls
| Libint2ERI::Libint2ERI            :      0.900u      0.017s      0.091w      3 calls
DFH: initialize()                   :      1.433u      0.333s      0.177w      3 calls
| Libint2ERI::Libint2ERI            :      0.733u      0.017s      0.076w     21 calls
| DFH: AO Construction              :      0.167u      0.000s      0.021w      3 calls
| DFH: AO-Met. Contraction          :      0.067u      0.033s      0.008w      3 calls
HF: Form core H                     :      0.050u      0.000s      0.006w      3 calls
HF: Form S/X                        :      0.050u      0.000s      0.004w      3 calls
HF: Guess                           :      1.783u      0.167s      0.193w      3 calls
| SAD Guess                         :      1.750u      0.167s      0.188w      3 calls
HF: Form G                          :      0.167u      0.000s      0.025w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.167u      0.000s      0.023w     24 calls
| | DFH: compute_JK()               :      0.150u      0.000s      0.023w     24 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.011w     24 calls
| | | DFH: compute_K                :      0.117u      0.000s      0.011w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.001w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.583u      0.033s      0.163w     21 calls
HF: Form C                          :      0.217u      0.000s      0.025w     21 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      2.967u      0.150s      0.312w      3 calls
| Libint2ERI::Libint2ERI            :      2.467u      0.100s      0.261w     18 calls
| DFMP2 (A|mn)                      :      0.183u      0.000s      0.022w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.033u      0.000s      0.002w      3 calls
| DFMP2 (A|mi)C_na                  :      0.017u      0.000s      0.001w      3 calls
| DFMP2 Aia Write                   :      0.017u      0.017s      0.001w      3 calls
DFMP2 Bia                           :      0.317u      0.017s      0.032w      3 calls
| DFMP2 Metric                      :      0.283u      0.000s      0.029w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     18 calls
| DFMP2 Aia Read                    :      0.017u      0.000s      0.001w      3 calls
| DFMP2 (ia|A)(A|Q)                 :      0.017u      0.000s      0.001w      3 calls
| DFMP2 Bia Write                   :      0.000u      0.017s      0.001w      3 calls
DFMP2 Energy                        :      0.000u      0.000s      0.002w      3 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.000w      6 calls

**************************************************************************************

Host: moses-razer

Timers On : Thu Dec 28 16:19:51 2023
Timers Off: Thu Dec 28 16:19:54 2023

Wall Time:        3.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.117u      0.033s      0.117w      3 calls
Libint2ERI::Libint2ERI              :      4.183u      0.133s      0.429w     60 calls
DFH: initialize()                   :      1.533u      0.217s      0.172w      3 calls
DFH: AO Construction                :      0.250u      0.000s      0.024w      3 calls
DFH: AO-Met. Contraction            :      0.050u      0.000s      0.008w      3 calls
HF: Form core H                     :      0.050u      0.000s      0.006w      3 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w      3 calls
HF: Guess                           :      1.717u      0.133s      0.185w      3 calls
SAD Guess                           :      1.667u      0.133s      0.180w      3 calls
HF: Form G                          :      0.150u      0.000s      0.023w     25 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     25 calls
JK: JK                              :      0.133u      0.000s      0.022w     25 calls
DFH: compute_JK()                   :      0.133u      0.000s      0.022w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.017u      0.000s      0.011w     25 calls
DFH: compute_K                      :      0.083u      0.000s      0.010w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.001w     25 calls
HF: Form D                          :      0.033u      0.000s      0.000w     25 calls
HF: DIIS                            :      1.567u      0.033s      0.154w     22 calls
HF: Form C                          :      0.133u      0.000s      0.024w     22 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      3.283u      0.083s      0.340w      3 calls
