Filename                                 TwoBody MP2/aVTZ      ThreeBody MP2/aVTZ
084_NaCl-Na_1.00                              -158.458438                0.034251
084_NaCl-Na_1.10                              -161.047122                0.742727
084_NaCl-Na_1.20                              -159.569641                1.273390
084_NaCl-Na_1.30                              -156.566621                1.631593
084_NaCl-Na_1.40                              -153.180214                1.837027
084_NaCl-Na_1.50                              -149.905566                1.914433
084_NaCl-Na_2.00                              -138.578010                1.294269
085_NaCl-Cl_1.00                              -169.149855               18.462509
085_NaCl-Cl_1.10                              -170.616086               17.177106
085_NaCl-Cl_1.20                              -167.939127               15.712379
085_NaCl-Cl_1.30                              -163.767123               14.173740
085_NaCl-Cl_1.40                              -159.311384               12.640774
085_NaCl-Cl_1.50                              -155.096142               11.168032
085_NaCl-Cl_2.00                              -140.814128                5.525717
086_NaBr-Na_1.00                              -153.424321                0.575657
086_NaBr-Na_1.10                              -155.867245                1.299962
086_NaBr-Na_1.20                              -154.282927                1.824059
086_NaBr-Na_1.30                              -151.199044                2.160649
086_NaBr-Na_1.40                              -147.754061                2.332819
086_NaBr-Na_1.50                              -144.438419                2.368094
086_NaBr-Na_2.00                              -133.067537                1.508887
087_NaBr-Br_1.00                              -164.518806               20.468995
087_NaBr-Br_1.10                              -165.878343               18.972400
087_NaBr-Br_1.20                              -163.092454               17.298297
087_NaBr-Br_1.30                              -158.812776               15.560321
087_NaBr-Br_1.40                              -154.257367               13.843137
087_NaBr-Br_1.50                              -149.954508               12.203807
087_NaBr-Br_2.00                              -135.455475                5.998319
088_KF-K_1.00                                 -165.513770                8.155055
088_KF-K_1.10                                 -168.403757                6.919184
088_KF-K_1.20                                 -166.731570                5.984293
088_KF-K_1.30                                 -163.506926                5.252303
088_KF-K_1.40                                 -160.046544                4.679541
088_KF-K_1.50                                 -156.783720                4.195350
088_KF-K_2.00                                 -145.558427                2.300012
089_KF-F_1.00                                 -170.181733               10.468142
089_KF-F_1.10                                 -172.118785                9.346917
089_KF-F_1.20                                 -169.744593                8.333975
089_KF-F_1.30                                 -166.013825                7.437004
089_KF-F_1.40                                 -162.132265                6.631136
089_KF-F_1.50                                 -158.516818                5.879827
089_KF-F_2.00                                 -146.244950                2.903556
090_KCl-K_1.00                                -141.627009                4.238934
090_KCl-K_1.10                                -144.517030                3.821743
090_KCl-K_1.20                                -142.967418                3.524722
090_KCl-K_1.30                                -139.929042                3.273805
090_KCl-K_1.40                                -136.605861                3.020956
090_KCl-K_1.50                                -133.468689                2.752773
090_KCl-K_2.00                                -123.166850                1.458327
091_KCl-Cl_1.00                               -148.300917               12.762536
091_KCl-Cl_1.10                               -150.243372               11.816229
091_KCl-Cl_1.20                               -147.839009               10.732742
091_KCl-Cl_1.30                               -144.063920                9.620469
091_KCl-Cl_1.40                               -140.106879                8.522889
091_KCl-Cl_1.50                               -136.417955                7.469551
091_KCl-Cl_2.00                               -124.352629                3.538722
092_KBr-K_1.00                                -135.970893                3.543607
092_KBr-K_1.10                                -138.737745                3.345997
092_KBr-K_1.20                                -137.171176                3.193860
092_KBr-K_1.30                                -134.161927                3.035827
092_KBr-K_1.40                                -130.876065                2.840267
092_KBr-K_1.50                                -127.777474                2.607164
092_KBr-K_2.00                                -117.660838                1.364773
093_KBr-Br_1.00                               -143.412278               13.764160
093_KBr-Br_1.10                               -145.178168               12.789281
093_KBr-Br_1.20                               -142.682791               11.637741
093_KBr-Br_1.30                               -138.852979               10.435113
093_KBr-Br_1.40                               -134.843773                9.235498
093_KBr-Br_1.50                               -131.110400                8.081996
093_KBr-Br_2.00                               -119.016290                3.813516
112_2Li-Water_neq_1.00                          52.063082               -0.374545
112_2Li-Water_neq_1.10                          49.710867                0.026602
112_2Li-Water_neq_1.20                          48.926315                0.166435
112_2Li-Water_neq_1.30                          48.504502                0.179580
112_2Li-Water_neq_1.40                          47.998375                0.143283
112_2Li-Water_neq_1.50                          47.284513                0.096765
112_2Li-Water_neq_2.00                          41.675637               -0.012027
113_2Na-Water_neq_1.00                          56.597832               -0.375594
113_2Na-Water_neq_1.10                          51.986643               -0.080969
113_2Na-Water_neq_1.20                          49.727139                0.031948
113_2Na-Water_neq_1.30                          48.232935                0.056114
113_2Na-Water_neq_1.40                          46.922165                0.045723
113_2Na-Water_neq_1.50                          45.606972                0.026858
113_2Na-Water_neq_2.00                          38.753394               -0.013550
114_2K-Water_neq_1.00                           53.404832                0.972781
114_2K-Water_neq_1.10                           49.115678                0.624184
114_2K-Water_neq_1.20                           46.882567                0.414522
114_2K-Water_neq_1.30                           45.219921                0.278450
114_2K-Water_neq_1.40                           43.674816                0.186247
114_2K-Water_neq_1.50                           42.145542                0.123485
114_2K-Water_neq_2.00                           34.991388                0.014881
115_2F-Water_neq_1.00                           38.232197                4.979476
115_2F-Water_neq_1.10                           38.193738                3.292781
115_2F-Water_neq_1.20                           39.079321                2.235161
115_2F-Water_neq_1.30                           39.652826                1.544950
115_2F-Water_neq_1.40                           39.694338                1.082156
115_2F-Water_neq_1.50                           39.293282                0.766076
115_2F-Water_neq_2.00                           34.495196                0.161577
116_2Cl-Water_neq_1.00                          41.065704                3.982696
116_2Cl-Water_neq_1.10                          38.846006                2.729961
116_2Cl-Water_neq_1.20                          38.276650                1.879026
116_2Cl-Water_neq_1.30                          37.829096                1.300859
116_2Cl-Water_neq_1.40                          37.151731                0.907402
116_2Cl-Water_neq_1.50                          36.246541                0.638706
116_2Cl-Water_neq_2.00                          30.638103                0.132982
117_2Br-Water_neq_1.00                          40.889564                3.792089
117_2Br-Water_neq_1.10                          38.281234                2.656588
117_2Br-Water_neq_1.20                          37.482300                1.850983
117_2Br-Water_neq_1.30                          36.890522                1.290365
117_2Br-Water_neq_1.40                          36.122544                0.903909
117_2Br-Water_neq_1.50                          35.161610                0.638359
117_2Br-Water_neq_2.00                          29.534072                0.135326
